FoodID,UserID,tags
21,13,Remarkable
18,15,Mouthwatering
36,13,Subpar
40,11,Delectable
14,12,Tantalizing
5,18,Vapid
50,13,Divine
27,9,Impressive
52,13,Pinnacle of taste
5,6,Lackadaisical
21,9,Masterfully prepared
40,11,Vapid
32,9,Top-notchCulinary delight
9,6,Middling
53,10,Unappetizing
41,16,Flavorful
49,10,Unappetizing
40,13,Lackadaisical
27,6,Lackluster
10,4,Vapid
32,6,Delectable
7,20,Excellent
36,3,Masterfully prepared
21,7,Adequate
3,19,Flavorful
33,7,Ho-hum
57,3,Mediocre
54,9,Tantalizing
5,8,Ho-hum
8,5,Tantalizing
55,6,Subpar
44,7,Unimpressive
13,8,Dull
16,7,Mouthwatering
29,20,Dull
2,11,Tantalizing
11,2,Luxurious
16,14,Impressive
39,2,Pinnacle of taste
37,7,Decent
27,11,Exceptional
29,16,Passable
2,11,Passable
54,3,Vapid
39,9,Flavorless
44,12,Sumptuous
20,13,Mouthwatering
43,10,Passable
18,10,Fair
31,4,Luxurious
29,15,Bland
13,8,Lackluster
21,8,Excellent
19,7,Gourmet
12,16,Pinnacle of taste
29,7,Delectable
34,17,Ordinary
46,14,Middling
43,13,Lackadaisical
37,1,Bland
15,17,Decent
4,5,Impressive
42,5,Outstanding
26,20,Average
43,13,Dull
39,6,Outstanding
37,9,Unpalatable
16,1,Superb
6,13,Flavorful
20,16,Superb
57,17,Unimpressive
16,16,Fair
51,17,Decent
17,11,culinary masterpiece
2,19,Remarkable
22,7,Run-of-the-mill
28,8,culinary masterpiece
34,6,Divine
7,16,Passable
4,1,Dull
54,7,Ordinary
57,12,Remarkable
24,14,Unpalatable
33,9,Ordinary
31,19,Tantalizing
45,3,Lackluster
51,18,Tantalizing
22,15,Fair
14,16,Flavorless
34,15,Sumptuous
8,12,Ho-hum
38,13,Inadequate
35,11,Tasteless
46,4,culinary masterpiece
21,11,Mediocre
54,13,culinary masterpiece
15,15,Impressive
52,2,Mediocre
17,2,Tasteless
23,15,Ordinary
2,2,Delectable
32,15,Delectable
16,2,Middling
13,15,Outstanding
37,14,Mediocre
7,3,Tantalizing
47,20,Average
44,4,Ordinary
57,3,Unimpressive
57,11,Unappetizing
7,12,Adequate
48,9,Unpalatable
18,2,Ordinary
27,2,Gourmet
39,9,Vapid
36,3,Unimpressive
37,8,culinary masterpiece
41,10,Mediocre
47,6,Pinnacle of taste
44,16,Passable
42,1,culinary masterpiece
17,12,Flavorful
13,10,Bland
27,9,Unpalatable
13,8,Adequate
10,13,Inadequate
36,6,Fair
45,7,Decent
31,5,Run-of-the-mill
20,8,Decent
31,5,Flavorful
31,14,Fair
44,7,Ordinary
11,15,Tasteless
46,16,Ordinary
57,9,Ordinary
51,20,Decent
20,13,Gourmet
41,13,Unimpressive
19,13,Mouthwatering
46,12,Subpar
20,19,Luxurious
17,6,Delectable
15,10,Unimpressive
15,7,Tasteless
49,1,Ordinary
16,2,Average
27,19,Unimpressive
12,16,Masterfully prepared
33,3,Unappetizing
33,7,Lackluster
46,2,Vapid
32,16,Ordinary
29,5,Mediocre
45,14,Vapid
54,16,Unpalatable
27,8,Delectable
36,16,Flavorless
31,18,Bland
50,18,Sumptuous
16,20,Exquisite
30,17,Gourmet
36,10,Masterfully prepared
3,14,Inadequate
55,9,Excellent
18,15,Remarkable
47,1,Ordinary
3,15,Average
12,9,Masterfully prepared
35,10,Dull
39,8,Flavorless
37,11,Masterfully prepared
57,20,Lackadaisical
37,10,Run-of-the-mill
11,7,Masterfully prepared
17,14,Subpar
48,5,Inadequate
24,8,Vapid
52,14,Inadequate
54,4,Mediocre
3,19,Excellent
14,4,Flavorless
1,16,Exquisite
4,6,Lackluster
45,12,Tantalizing
9,6,Unappetizing
10,9,Unappetizing
31,19,Tasteless
17,14,Passable
57,8,Unappetizing
47,20,Mouthwatering
1,1,Tasteless
29,2,Excellent
19,19,Exquisite
26,16,Unimpressive
5,9,Unimpressive
21,1,Unpalatable
27,14,Lackadaisical
14,12,Flavorful
17,1,Average
49,8,Flavorless
41,7,Fair
3,18,Flavorful
45,18,Mediocre
20,19,Tantalizing
34,13,Gourmet
23,12,Middling
1,8,Passable
38,14,Vapid
22,7,Remarkable
29,18,Tasteless
46,6,Run-of-the-mill
11,1,Tantalizing
1,20,Delectable
56,2,Pinnacle of taste
5,3,Dull
34,13,Flavorless
10,8,Lackadaisical
33,7,Superb
57,9,Subpar
49,10,Remarkable
47,19,Adequate
34,6,Passable
17,17,Excellent
18,17,Bland
49,4,culinary masterpiece
39,4,Passable
56,7,Sumptuous
41,10,Lackluster
33,5,Flavorless
48,15,Unpalatable
16,12,Passable
5,3,Tantalizing
35,15,Vapid
48,8,Ordinary
22,8,Lackadaisical
57,19,Tantalizing
39,3,Flavorful
32,8,Gourmet
48,9,Gourmet
51,17,Unpalatable
20,17,culinary masterpiece
46,13,Lackadaisical
11,17,Gourmet
33,13,culinary masterpiece
4,20,Impressive
22,10,Fair
44,7,Decent
44,3,Exceptional
34,2,Passable
51,8,Exceptional
18,16,Lackadaisical
36,15,Passable
41,10,Vapid
11,17,Divine
40,11,culinary masterpiece
1,17,Lackadaisical
52,7,Tantalizing
3,8,Pinnacle of taste
8,3,Exquisite
42,11,Fair
36,18,Unappetizing
18,9,Mouthwatering
22,5,Masterfully prepared
28,4,Excellent
50,17,Ho-hum
4,13,Flavorless
23,2,Average
29,18,Subpar
17,5,Dull
52,9,Flavorful
57,10,Tantalizing
3,7,Tasteless
44,1,Flavorless
56,11,Average
3,6,Ho-hum
27,2,Bland
19,14,Average
2,4,Superb
54,9,Average
4,16,Lackadaisical
27,16,Fair
40,1,Lackadaisical
21,17,Run-of-the-mill
5,14,Vapid
12,5,Vapid
29,5,Ordinary
2,10,Unpalatable
44,20,Ordinary
16,16,Masterfully prepared
9,12,Divine
41,20,Exceptional
13,8,Ordinary
15,11,Superb
30,11,Lackluster
17,20,Unappetizing
22,1,Adequate
7,1,Gourmet
5,13,Dull
40,7,Luxurious
10,12,Adequate
4,14,Subpar
22,13,Passable
25,14,Flavorless
37,5,Ho-hum
30,14,Divine
40,7,Subpar
46,6,Middling
56,5,Ho-hum
35,16,Unimpressive
21,16,Flavorless
42,18,culinary masterpiece
3,14,Ordinary
24,6,Fair
55,10,Luxurious
30,7,Mouthwatering
53,7,Lackluster
49,7,Luxurious
29,3,Subpar
37,9,Pinnacle of taste
15,17,Subpar
18,12,Sumptuous
18,7,Adequate
15,18,Remarkable
33,3,Ordinary
41,7,Passable
2,18,Flavorless
39,6,Sumptuous
1,20,Vapid
48,3,Unpalatable
7,13,Masterfully prepared
29,11,Sumptuous
