FoodID,UserID,Rating
1,128,5
2,64,3
3,184,5
4,132,5
5,110,3
4,183,4
1,200,3
6,89,2
7,118,4
8,7,3
9,34,2
10,126,5
11,42,1
12,163,2
13,174,3
14,79,1
15,148,5
16,53,2
17,143,1
18,59,1
17,128,1
19,16,3
3,79,2
20,157,5
21,61,2
4,110,1
22,192,3
23,180,2
24,43,3
25,170,5
26,64,3
19,109,2
7,38,5
27,89,1
28,111,5
29,96,2
30,5,2
9,131,4
31,6,1
32,131,3
19,71,1
33,195,5
34,28,3
35,77,3
15,103,3
16,44,4
12,80,1
16,185,5
36,129,4
37,116,4
38,133,3
39,171,3
29,120,3
40,8,2
41,114,1
42,171,1
43,177,2
44,197,3
38,85,1
45,27,5
3,115,3
46,84,1
47,195,5
19,73,5
29,123,1
48,136,2
49,127,4
34,78,5
50,76,3
51,69,5
52,137,1
53,56,1
9,119,5
54,8,5
55,173,1
18,97,1
17,60,4
56,131,1
29,200,4
11,143,1
57,91,1
58,45,4
24,141,3
41,146,4
14,125,5
41,20,2
20,139,4
59,168,5
16,31,4
5,97,3
20,131,2
3,26,2
21,37,3
5,12,2
25,52,2
30,139,5
38,100,4
60,5,2
39,136,3
61,191,2
38,68,5
39,168,1
62,175,3
54,120,1
19,193,1
20,155,5
63,187,3
6,33,1
19,194,3
64,76,2
42,35,3
4,42,5
56,80,4
5,118,4
65,72,2
66,43,3
11,88,3
12,4,1
67,48,3
16,134,1
49,17,2
68,59,2
41,7,3
69,119,2
18,132,1
3,58,4
70,127,4
19,177,5
71,187,5
27,194,1
72,159,2
73,35,4
74,112,5
74,124,1
64,3,1
53,103,3
1,79,1
13,108,3
19,115,1
27,41,1
75,42,2
3,126,1
20,95,1
3,99,3
76,51,5
9,101,2
50,135,1
26,78,4
77,13,3
9,51,4
35,112,4
27,79,3
1,5,5
78,73,2
27,45,5
79,157,2
80,49,5
63,63,4
81,161,1
22,94,3
59,42,5
26,186,1
65,52,1
11,126,3
58,48,1
32,35,1
58,106,1
68,133,4
82,80,5
35,51,3
83,157,4
84,183,3
85,102,1
86,193,4
38,20,4
83,74,1
87,62,5
59,115,3
88,29,4
67,165,1
89,92,1
38,108,3
39,72,5
90,81,3
34,66,5
91,34,4
92,119,1
18,62,1
55,135,5
93,53,5
24,54,3
71,194,1
94,62,1
94,39,3
23,188,5
64,42,1
95,66,1
95,79,3
6,12,4
96,117,4
62,5,3
34,80,2
3,166,2
97,5,1
98,176,4
19,151,3
29,189,5
50,100,1
19,157,1
64,194,3
17,160,2
99,50,3
100,6,4
22,41,3
9,168,4
3,171,3
11,170,5
101,64,4
51,159,4
91,183,1
17,64,4
10,16,4
19,124,3
64,110,5
102,199,1
27,105,5
103,126,3
3,183,4
4,46,1
5,109,4
9,47,4
22,38,5
67,35,4
88,27,4
104,177,4
105,70,2
106,161,5
31,52,5
107,140,3
66,147,4
23,85,1
83,62,1
4,16,2
91,147,4
108,148,1
109,143,4
4,70,3
29,185,2
70,119,2
110,102,3
91,9,3
40,110,5
111,68,2
112,78,4
113,174,2
3,113,2
64,50,4
9,139,3
95,104,2
35,42,3
114,187,2
64,60,4
106,150,2
115,167,2
57,70,5
112,8,3
1,49,5
116,174,3
117,52,4
45,90,5
112,42,2
112,160,5
112,61,4
62,179,2
118,79,5
119,3,1
44,110,3
4,171,1
19,74,4
27,200,3
33,144,2
12,33,5
51,163,1
39,37,1
38,166,1
114,43,5
34,182,3
120,59,1
121,65,4
19,161,2
67,92,2
88,83,5
122,174,2
27,193,3
123,108,5
19,7,3
121,54,2
27,102,5
