FoodID,UserID,tags
1,128,magical
2,64,sufficient
3,184,divine
4,132,mouthwatering
5,110,nice
4,183,outstanding
1,200,enjoyable
6,89,passable
7,118,tasty
8,7,delectable
9,34,passable
10,126,divine
11,42,underwhelming
12,163,adequate
13,174,solid
14,79,boring
15,148,magical
16,53,decent
17,143,disappointing
18,59,subpar
17,128,poor
19,16,sufficient
3,79,decent
20,157,splendid
21,61,moderate
4,110,subpar
22,192,good
23,180,so-so
24,43,tasty
25,170,culinary masterpiece
26,64,fairly good
19,109,average
7,38,divine
27,89,tasteless
28,111,unforgettable
29,96,fair
30,5,not bad
9,131,top-notch
31,6,underwhelming
32,131,commendable
19,71,dull
33,195,sublime
34,28,sufficient
35,77,sufficient
15,103,sufficient
16,44,stellar
12,80,forgettable
16,185,gourmet
36,129,remarkable
37,116,outstanding
38,133,satisfying
39,171,enjoyable
29,120,enjoyable
40,8,average
41,114,lackluster
42,171,underwhelming
43,177,passable
44,197,fairly good
38,85,unpleasant
45,27,gourmet
3,115,sufficient
46,84,boring
47,195,incredible
19,73,sublime
29,123,dull
48,136,average
49,127,fantastic
34,78,sublime
50,76,acceptable
51,69,phenomenal
52,137,disappointing
53,56,unappetizing
9,119,magical
54,8,mouthwatering
55,173,underwhelming
18,97,boring
17,60,stellar
56,131,ordinary
29,200,tasty
11,143,poor
57,91,boring
58,45,impressive
24,141,good
41,146,extraordinary
14,125,phenomenal
41,20,average
20,139,delicious
59,168,gourmet
16,31,fantastic
5,97,pleasing
20,131,average
3,26,moderate
21,37,commendable
5,12,middling
25,52,so-so
30,139,gourmet
38,100,remarkable
60,5,passable
39,136,pleasing
61,191,okay
38,68,divine
39,168,mediocre
62,175,commendable
54,120,disappointing
19,193,bland
20,155,splendid
63,187,pleasing
6,33,mediocre
19,194,good
64,76,moderate
42,35,pleasing
4,42,sublime
56,80,superb
5,118,wonderful
65,72,tolerable
66,43,sufficient
11,88,solid
12,4,forgettable
67,48,pleasing
16,134,lackluster
49,17,so-so
68,59,so-so
41,7,acceptable
69,119,not bad
18,132,unappetizing
3,58,impressive
70,127,top-notch
19,177,flawless
71,187,perfect
27,194,poor
72,159,passable
73,35,superb
74,112,divine
74,124,poor
64,3,lackluster
53,103,satisfactory
1,79,unpleasant
13,108,nice
19,115,disappointing
27,41,tasteless
75,42,adequate
3,126,bland
20,95,forgettable
3,99,fairly good
76,51,heavenly
9,101,ordinary
50,135,unpleasant
26,78,stellar
77,13,sufficient
9,51,premium
35,112,stellar
27,79,nice
1,5,exceptional
78,73,adequate
27,45,phenomenal
79,157,ordinary
80,49,mouthwatering
63,63,delicious
81,161,dull
22,94,enjoyable
59,42,phenomenal
26,186,unsatisfactory
65,52,subpar
11,126,fairly good
58,48,subpar
32,35,forgettable
58,106,forgettable
68,133,top-notch
82,80,incredible
35,51,pleasant
83,157,impressive
84,183,delectable
85,102,subpar
86,193,remarkable
38,20,excellent
83,74,lackluster
87,62,mouthwatering
59,115,solid
88,29,superb
67,165,boring
89,92,lackluster
38,108,satisfying
39,72,sublime
90,81,pleasant
34,66,perfect
91,34,fantastic
92,119,lackluster
18,62,underwhelming
55,135,divine
93,53,perfect
24,54,satisfactory
71,194,unpleasant
94,62,bland
94,39,pleasing
23,188,exceptional
64,42,poor
95,66,boring
95,79,delectable
6,12,premium
96,117,outstanding
62,5,solid
34,80,adequate
3,166,adequate
97,5,tasteless
98,176,superb
19,151,tasty
29,189,magical
50,100,mediocre
19,157,mediocre
64,194,nice
17,160,adequate
99,50,sufficient
100,6,fantastic
22,41,pleasant
9,168,remarkable
3,171,satisfactory
11,170,exquisite
101,64,exceptional
51,159,stellar
91,183,underwhelming
17,64,fantastic
10,16,top-notch
19,124,acceptable
64,110,magical
102,199,poor
27,105,magical
103,126,tasty
3,183,impressive
4,46,ordinary
5,109,stellar
9,47,impressive
22,38,unforgettable
67,35,tasty
88,27,impressive
104,177,delicious
105,70,tolerable
106,161,exquisite
31,52,splendid
